                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0769,                 1.0576,                 1.5343,                0.71017,                0.64488,                0.75586,                0.48552,                 1.2445,                0.99986,                  1.795,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.0678,                 1.0375,                 1.5301,                0.69563,                0.68833,                0.75877,                0.49534,                 1.2308,                0.96815,                 1.7778,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.0673,                 1.0397,                 1.5399,                0.71337,                0.66088,                0.75492,                0.48521,                 1.2741,                0.95301,                 1.8159,               0.000505,               0.000505,               0.000505
                     53,                 1.0676,                 1.0453,                   1.54,                0.68282,                0.72624,                0.76169,                0.49336,                 1.2458,                0.91052,                 1.7991,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.0692,                 1.0338,                 1.5351,                0.69777,                0.68823,                0.76383,                0.49945,                 1.2443,                0.96184,                 1.8065,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.0584,                 1.0217,                 1.5274,                0.69795,                0.67106,                0.75972,                0.49031,                 1.2484,                0.98663,                 1.7906,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.0575,                  1.013,                 1.5263,                0.68129,                0.72006,                0.75767,                0.48822,                  1.253,                0.96184,                 1.7951,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.0532,                 1.0108,                 1.5263,                0.74078,                0.68569,                0.77127,                0.50685,                 1.2116,                0.90915,                 1.7567,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.0523,                 1.0133,                 1.5171,                0.71879,                0.70689,                0.78964,                0.50483,                 1.2571,                0.91533,                 1.8152,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.0515,                 1.0107,                 1.5238,                0.66485,                0.74625,                0.77569,                 0.4989,                 1.2521,                0.97734,                 1.8015,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.0565,                 1.0111,                 1.5263,                0.69907,                0.72983,                 0.7879,                0.51337,                 1.2215,                 0.9426,                 1.7613,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.0435,                0.98513,                 1.5138,                0.69829,                0.71614,                0.77578,                0.50131,                 1.2451,                0.92413,                 1.7941,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.0286,                0.96502,                 1.5022,                0.71692,                0.71307,                0.79257,                0.51643,                 1.2464,                0.92524,                 1.7906,               0.000406,               0.000406,               0.000406
                     63,                 1.0356,                0.98398,                  1.511,                 0.7274,                0.70924,                0.78722,                0.50959,                 1.2563,                0.92505,                 1.8131,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.0307,                0.97054,                 1.4983,                0.74488,                0.67435,                0.78509,                0.50968,                 1.2333,                0.91785,                 1.7828,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.0316,                0.96061,                 1.5018,                0.76478,                0.68217,                0.79166,                0.50808,                 1.2667,                0.88431,                 1.8265,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.0241,                0.94932,                  1.499,                0.68243,                0.76718,                0.79227,                0.51568,                 1.2355,                0.94291,                 1.7795,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.0214,                0.93819,                 1.4892,                0.67226,                0.75216,                0.78641,                0.51354,                  1.236,                0.91904,                 1.7827,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.0296,                0.94045,                 1.4984,                0.68601,                0.75146,                0.78585,                0.51432,                 1.2283,                0.94158,                 1.7742,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.0194,                0.93091,                 1.4887,                0.71663,                0.72109,                0.80279,                0.52604,                 1.2299,                0.91687,                 1.7817,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.0119,                 0.9333,                 1.4874,                0.70922,                0.72629,                0.79753,                0.52149,                 1.2362,                0.88714,                 1.7926,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.0138,                0.91616,                  1.489,                 0.6682,                0.75075,                  0.788,                 0.5166,                 1.2399,                0.96589,                 1.7918,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.0162,                0.92714,                 1.4844,                0.70351,                0.74902,                0.79457,                0.51743,                 1.2434,                0.88978,                 1.7998,               0.000307,               0.000307,               0.000307
                     73,                 1.0062,                0.91696,                 1.4799,                0.73417,                0.66057,                0.79456,                0.52121,                 1.2275,                0.93622,                 1.7828,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.0068,                0.91425,                 1.4818,                0.70717,                0.72739,                0.79081,                0.51762,                 1.2258,                0.94617,                 1.7739,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.0112,                0.90855,                 1.4823,                0.70687,                0.71668,                0.79179,                0.51868,                  1.243,                0.93522,                 1.8053,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.0006,                0.90441,                 1.4777,                0.77241,                0.66445,                0.79777,                0.52328,                 1.2409,                0.91876,                 1.7915,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.0074,                0.88672,                 1.4796,                0.70182,                0.73649,                0.79797,                 0.5207,                 1.2368,                0.94522,                 1.7961,              0.0002575,              0.0002575,              0.0002575
                     78,                0.99784,                0.90049,                  1.475,                0.71469,                0.74908,                0.81378,                0.53452,                 1.2278,                0.87683,                 1.7813,              0.0002476,              0.0002476,              0.0002476
                     79,                0.99235,                0.88146,                 1.4663,                0.76127,                0.69093,                0.80385,                0.52878,                 1.2374,                0.91332,                  1.797,              0.0002377,              0.0002377,              0.0002377
                     80,                  1.007,                0.88508,                 1.4799,                0.70628,                0.75641,                0.81361,                0.53848,                 1.2279,                0.89102,                 1.7827,              0.0002278,              0.0002278,              0.0002278
                     81,                0.98461,                0.87477,                  1.466,                0.70861,                0.76573,                0.81602,                0.53617,                 1.2357,                0.89278,                 1.7989,              0.0002179,              0.0002179,              0.0002179
                     82,                0.98511,                 0.8619,                 1.4676,                0.73609,                0.72705,                0.81681,                0.53591,                 1.2364,                0.89579,                 1.7965,               0.000208,               0.000208,               0.000208
                     83,                 0.9814,                0.86872,                 1.4566,                0.73901,                0.74022,                 0.8131,                0.54085,                 1.2199,                0.89475,                 1.7802,              0.0001981,              0.0001981,              0.0001981
                     84,                0.98095,                0.86078,                 1.4563,                0.73082,                0.73284,                0.81182,                 0.5367,                 1.2319,                0.88847,                 1.7918,              0.0001882,              0.0001882,              0.0001882
                     85,                0.97603,                0.84215,                 1.4472,                0.68822,                0.77194,                 0.8109,                0.53622,                  1.222,                0.90601,                  1.774,              0.0001783,              0.0001783,              0.0001783
                     86,                 0.9767,                0.84568,                 1.4494,                0.79058,                0.67469,                0.81481,                0.53998,                 1.2279,                0.89823,                 1.7853,              0.0001684,              0.0001684,              0.0001684
                     87,                  0.972,                0.84745,                 1.4521,                 0.7767,                 0.6886,                0.81926,                0.54029,                 1.2289,                0.88597,                 1.7876,              0.0001585,              0.0001585,              0.0001585
                     88,                 0.9809,                0.85496,                 1.4554,                0.69076,                0.77702,                0.80908,                0.53665,                  1.232,                0.88964,                 1.7883,              0.0001486,              0.0001486,              0.0001486
                     89,                0.97172,                0.82679,                 1.4435,                0.73544,                0.73674,                0.81527,                0.53841,                 1.2362,                0.89178,                 1.7953,              0.0001387,              0.0001387,              0.0001387
                     90,                0.96882,                 0.8291,                 1.4462,                0.71211,                0.75153,                0.80935,                0.53675,                 1.2299,                0.90113,                 1.7911,              0.0001288,              0.0001288,              0.0001288
                     91,                0.91936,                 0.5895,                 1.4492,                 0.6915,                0.79602,                 0.8048,                0.53018,                  1.241,                0.90659,                 1.8208,              0.0001189,              0.0001189,              0.0001189
                     92,                0.91246,                0.57853,                 1.4433,                0.72038,                0.75926,                0.81136,                0.53897,                  1.237,                 0.8866,                 1.8103,               0.000109,               0.000109,               0.000109
                     93,                0.90538,                0.55483,                 1.4318,                0.71029,                0.76568,                0.80867,                0.53625,                 1.2365,                 0.8979,                 1.8094,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.90472,                0.55507,                 1.4354,                0.75783,                0.70444,                0.81153,                 0.5362,                 1.2374,                0.93087,                 1.8154,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.90213,                0.55341,                 1.4364,                0.74938,                 0.7144,                0.80574,                0.53555,                 1.2331,                0.91182,                 1.8093,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.89657,                0.54234,                 1.4269,                0.75006,                0.71081,                0.80126,                0.53325,                 1.2325,                0.90866,                  1.807,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.88975,                 0.5455,                 1.4231,                0.71734,                0.76579,                0.81011,                0.53903,                 1.2356,                0.90094,                 1.8141,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.88711,                0.53505,                 1.4204,                0.73593,                0.73656,                  0.807,                  0.536,                 1.2341,                 0.9166,                 1.8164,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.88332,                0.53333,                 1.4163,                0.72522,                0.75159,                0.80714,                 0.5356,                 1.2353,                 0.9113,                 1.8152,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.89088,                0.53091,                 1.4216,                0.74689,                0.72165,                0.80798,                0.53714,                 1.2379,                0.91161,                 1.8197,               2.98e-05,               2.98e-05,               2.98e-05
